clip,score_rescaled,good_probability
B13_kinect_mirror,0.897532,0.9681
B13_kinect_rotate_pos,0.897532,0.9681
B13_kinect_rotate_neg,0.897532,0.9681
B13_kinect_stretch,0.897532,0.9681
B14_kinect,1.523758,0.9669
B14_kinect_mirror,1.523758,0.9669
B14_kinect_rotate_pos,1.523758,0.9669
B14_kinect_rotate_neg,1.523758,0.9669
B14_kinect_stretch,1.523758,0.9669
B15_kinect,1.251572,0.9659
B15_kinect_mirror,1.251572,0.9659
B15_kinect_rotate_pos,1.251572,0.9659
B15_kinect_rotate_neg,1.251572,0.9659
B15_kinect_stretch,1.251572,0.9659
B16_kinect,0.977059,0.965
B16_kinect_mirror,0.977059,0.965
B16_kinect_rotate_pos,0.977059,0.965
B16_kinect_rotate_neg,0.977059,0.965
B16_kinect_stretch,0.977059,0.965
B17_kinect,1.38958,0.9683
B17_kinect_mirror,1.38958,0.9683
B17_kinect_rotate_pos,1.38958,0.9683
B17_kinect_rotate_neg,1.38958,0.9683
B17_kinect_stretch,1.38958,0.9683
B19_kinect,0.564955,0.9665
B19_kinect_mirror,0.564955,0.9665
B19_kinect_rotate_pos,0.564955,0.9665
B19_kinect_rotate_neg,0.564955,0.9665
B19_kinect_stretch,0.564955,0.9665
B1_kinect,2.456286,0.9674
B1_kinect_mirror,2.456286,0.9674
B1_kinect_rotate_pos,2.456286,0.9674
B1_kinect_rotate_neg,2.456286,0.9674
B1_kinect_stretch,2.456286,0.9674
B20_kinect,1.362072,0.9685
B20_kinect_mirror,1.362072,0.9685
B20_kinect_rotate_pos,1.362072,0.9685
B20_kinect_rotate_neg,1.362072,0.9685
B20_kinect_stretch,1.362072,0.9685
B21_kinect,1.418573,0.9665
B21_kinect_mirror,1.418573,0.9665
B21_kinect_rotate_pos,1.418573,0.9665
B21_kinect_rotate_neg,1.418573,0.9665
B21_kinect_stretch,1.418573,0.9665
B22_kinect,1.198862,0.9672
B22_kinect_mirror,1.198862,0.9672
B22_kinect_rotate_pos,1.198862,0.9672
B22_kinect_rotate_neg,1.198862,0.9672
B22_kinect_stretch,1.198862,0.9672
B2_kinect,4.0,0.8259
B2_kinect_mirror,4.0,0.8259
B2_kinect_rotate_pos,4.0,0.8259
B2_kinect_rotate_neg,4.0,0.8259
B2_kinect_stretch,4.0,0.8259
B3_kinect,3.414489,0.8021
B3_kinect_mirror,3.414489,0.8021
B3_kinect_rotate_pos,3.414489,0.8021
B3_kinect_rotate_neg,3.414489,0.8021
B3_kinect_stretch,3.414489,0.8021
B5_kinect,2.820563,0.9142
B5_kinect_mirror,2.820563,0.9142
B5_kinect_rotate_pos,2.820563,0.9142
B5_kinect_rotate_neg,2.820563,0.9142
B5_kinect_stretch,2.820563,0.9142
B6_kinect,1.394739,0.9688
B6_kinect_mirror,1.394739,0.9688
B6_kinect_rotate_pos,1.394739,0.9688
B6_kinect_rotate_neg,1.394739,0.9688
B6_kinect_stretch,1.394739,0.9688
B7_kinect,0.932184,0.9684
B7_kinect_mirror,0.932184,0.9684
B7_kinect_rotate_pos,0.932184,0.9684
B7_kinect_rotate_neg,0.932184,0.9684
B7_kinect_stretch,0.932184,0.9684
B8_kinect,1.345632,0.9703
B8_kinect_mirror,1.345632,0.9703
B8_kinect_rotate_pos,1.345632,0.9703
B8_kinect_rotate_neg,1.345632,0.9703
B8_kinect_stretch,1.345632,0.9703
B9_kinect,1.054197,0.969
B9_kinect_mirror,1.054197,0.969
B9_kinect_rotate_pos,1.054197,0.969
B9_kinect_rotate_neg,1.054197,0.969
B9_kinect_stretch,1.054197,0.969
